document_id,file_name,file_type,likely_reason
eagle-knowledge-base/approved/supervisor-core/essential-templates/HHS SubK Plan Template - updated March 2022.doc,HHS SubK Plan Template - updated March 2022.doc,doc,Old .doc format not supported (only .docx)
eagle-knowledge-base/approved/supervisor-core/essential-templates/Quotation Abstract.docx,Quotation Abstract.docx,docx,DOCX text extraction failed - likely image-only form or protected document
eagle-knowledge-base/approved/supervisor-core/essential-templates/Receiving Report Template 20201002.docx,Receiving Report Template 20201002.docx,docx,DOCX text extraction failed - likely image-only form or protected document
eagle-knowledge-base/approved/supervisor-core/essential-templates/SRB Request form.docx,SRB Request form.docx,docx,DOCX text extraction failed - likely image-only form or protected document
eagle-knowledge-base/approved/supervisor-core/essential-templates/Streamlined Acquisition Plan (S-AP).docx,Streamlined Acquisition Plan (S-AP).docx,docx,DOCX text extraction failed - likely image-only form or protected document
